edge_id,width,density,average_speed
1290627935#4,3.5,0.0,0.0
1290627935#5,3.5,0.0,0.0
1290627936#0,3.5,0.0,0.0
1290627936#1,3.5,0.0,0.0
1290627936#2,3.5,0.0,0.0
1290627936#3,3.5,0.0,0.0
1290627936#4,3.5,0.0,0.0
1290627936#5,3.5,0.0,0.0
1290627937#0,3.5,0.0,0.0
1290627937#1,3.5,0.0,0.0
1290628412#0,3.5,0.0,0.0
1290628412#1,3.5,0.0,0.0
1290628412#2,3.5,0.0,0.0
1290628412#3,3.5,0.0,0.0
1290628413#0,3.5,0.0,0.0
1290628413#1,3.5,0.0,0.0
1290628413#2,3.5,0.0,0.0
1290628413#3,3.5,0.0,0.0
1290628414#0,3.5,0.0,0.0
1290628414#1,3.5,0.0,0.0
1290628415#0,3.5,0.0,0.0
1290628415#1,3.5,0.0,0.0
1290628416#0,3.5,0.0,0.0
1290628416#1,3.5,0.0,0.0
1290628417,3.5,0.0,0.0
1290628418#0,3.5,0.0,0.0
1290628418#1,3.5,0.0,0.0
1290628419#0,3.5,0.0,0.0
1290628419#1,3.5,0.0,0.0
1290628419#2,3.5,0.0,0.0
1290628419#3,3.5,0.0,0.0
1290628420#0,3.5,0.0,0.0
1290628420#1,3.5,0.0,0.0
1292347198#0,3.5,0.0,0.0
1292347198#1,3.5,0.0,0.0
1292347198#2,3.5,0.0,0.0
1292347198#3,3.5,0.0,0.0
1292347198#4,3.5,0.0,0.0
1296559527#0,3.5,0.0,0.0
1296559527#1,3.5,0.0,0.0
1296559527#2,3.5,0.0,0.0
1296559527#3,3.5,0.0,0.0
1296559527#4,3.5,0.0,0.0
1296561767#0,3.5,0.0,0.0
1296561767#1,3.5,0.0,0.0
1298038631#0,3.5,0.0,0.0
1298038631#1,3.5,0.0,0.0
1298038631#2,3.5,0.0,0.0
130528359,3.5,0.0,0.0
130528361#0,3.5,0.0,0.0
130528361#1,3.5,0.0,0.0
130546663,3.5,0.0,0.0
130546664#0,3.5,0.0,0.0
130546664#1,3.5,0.0,0.0
130546664#2,3.5,0.0,0.0
130546664#3,3.5,0.0,0.0
130547038,3.5,0.0,0.0
130547039,3.5,0.0,0.0
1306596300#0,3.5,0.0,0.0
1306596300#1,3.5,0.0,0.0
1306598704,3.5,0.0,0.0
1306754651,3.5,0.0,0.0
1306754652,3.5,0.0,0.0
130737743,3.5,0.0,0.0
130764244#0,3.5,0.0,0.0
130764244#1,3.5,0.0,0.0
130764246,3.5,0.0,0.0
130764248#0,3.5,0.0,0.0
130764248#1,3.5,0.0,0.0
130764248#2,3.5,0.0,0.0
130764248#3,3.5,0.0,0.0
130764248#4,3.5,0.0,0.0
130764248#5,3.5,0.0,0.0
130764248#6,3.5,0.0,0.0
130764248#7,3.5,0.0,0.0
130764248#8,3.5,0.0,0.0
130784151,3.5,0.0,0.0
130876649#0,3.5,0.0,0.0
130876649#1,3.5,0.0,0.0
130876651,3.5,0.0,0.0
130876652#0,3.5,0.0,0.0
130876652#1,3.5,0.0,0.0
1310060378,3.5,0.0,0.0
131333220#0,3.5,0.0,0.0
131333220#1,3.5,0.0,0.0
131333220#2,3.5,0.0,0.0
131685682#0,3.5,0.0,0.0
131685682#1,3.5,0.0,0.0
131685683#0,3.5,0.0,0.0
131685683#1,3.5,0.0,0.0
1318997550,3.5,0.0,0.0
1318997551#0,3.5,0.0,0.0
1318997551#1,3.5,0.0,0.0
1318997551#2,3.5,0.0,0.0
1318997552#0,3.5,0.0,0.0
1318997552#1,3.5,0.0,0.0
1318997564,3.5,0.0,0.0
1318997565#0,3.5,0.0,0.0
1318997565#1,3.5,0.0,0.0
1318997565#2,3.5,0.0,0.0
1318997565#3,3.5,0.0,0.0
1318997565#4,3.5,0.0,0.0
1318997565#5,3.5,0.0,0.0
1319061572#0,3.5,0.0,0.0
1319061572#1,3.5,0.0,0.0
1319847678,3.5,0.0,0.0
1320033536#0,3.5,0.0,0.0
1320033536#1,3.5,0.0,0.0
1320033536#2,3.5,0.0,0.0
1320033536#3,3.5,0.0,0.0
1320153908#0,3.5,0.0,0.0
1320153908#1,3.5,0.0,0.0
1320153909#0,3.5,0.0,0.0
1320153909#1,3.5,0.0,0.0
1320153910,3.5,0.0,0.0
1320153911#0,3.5,0.0,0.0
1320153911#1,3.5,0.0,0.0
1320153911#2,3.5,0.0,0.0
1320153911#3,3.5,0.0,0.0
13214330#0,3.5,0.0,0.0
13214330#1,3.5,0.0,0.0
13214336#0,3.5,0.0,0.0
13214336#1,3.5,0.0,0.0
13214336#10,3.5,0.0,0.0
13214336#11,3.5,0.0,0.0
13214336#2,3.5,0.0,0.0
13214336#3,3.5,0.0,0.0
13214336#4,3.5,0.0,0.0
13214336#5,3.5,0.0,0.0
13214336#6,3.5,0.0,0.0
13214336#7,3.5,0.0,0.0
13214336#8,3.5,0.0,0.0
13214336#9,3.5,0.0,0.0
13214337#0,3.5,0.0,0.0
13214337#1,3.5,0.0,0.0
13214337#2,3.5,0.0,0.0
13214337#3,3.5,0.0,0.0
13214337#4,3.5,0.0,0.0
13214337#5,3.5,0.0,0.0
13214339#0,3.5,0.0,0.0
13214339#1,3.5,0.0,0.0
13214339#10,3.5,0.0,0.0
13214339#11,3.5,0.0,0.0
13214339#2,3.5,0.0,0.0
13214339#3,3.5,0.0,0.0
13214339#4,3.5,0.0,0.0
13214339#5,3.5,0.0,0.0
13214339#6,3.5,0.0,0.0
13214339#7,3.5,0.0,0.0
13214339#8,3.5,0.0,0.0
13214339#9,3.5,0.0,0.0
13215020#0,3.5,0.0,0.0
13215020#1,3.5,0.0,0.0
